time_s,sbs_id,x,y
210.000,4,138.891424,168.349493
210.000,5,57.204623,258.751379
210.000,6,23.968942,49.078709
210.000,7,141.032569,47.932042
220.000,0,235.888577,243.863042
220.000,1,239.845298,77.126661
220.000,2,244.598262,167.756815
220.000,3,42.493081,142.862096
220.000,4,142.308399,171.999737
220.000,5,57.025160,259.069725
220.000,6,27.004385,45.105539
220.000,7,136.441551,49.912585
230.000,0,237.150236,239.024838
230.000,1,240.778652,82.038773
230.000,2,239.703812,168.778755
230.000,3,38.678694,139.629379
230.000,4,144.632342,167.572629
230.000,5,57.066279,264.069556
230.000,6,29.130216,41.687052
230.000,7,137.406236,48.543889
240.000,0,236.158322,243.925461
240.000,1,239.160813,77.307749
240.000,2,244.677723,169.288863
240.000,3,43.568917,140.671360
240.000,4,146.307637,172.283615
240.000,5,58.828686,259.390462
240.000,6,29.321995,43.423832
240.000,7,136.003126,48.628308
250.000,0,234.754519,248.724351
250.000,1,235.195050,74.262634
250.000,2,249.633665,169.951161
250.000,3,41.112460,136.316383
250.000,4,142.786961,168.733285
250.000,5,54.570920,256.769121
250.000,6,31.004087,48.132396
250.000,7,131.100916,47.644266
260.000,0,232.453124,253.163222
260.000,1,233.790887,69.463850
260.000,2,254.587779,170.627000
260.000,3,40.716736,141.300699
260.000,4,142.525592,173.726449
260.000,5,57.048958,259.124806
260.000,6,29.535040,43.353076
260.000,7,132.029302,52.557320
270.000,0,235.555563,249.242142
270.000,1,234.989423,64.609624
270.000,2,254.578186,165.627009
270.000,3,44.502478,144.566914
270.000,4,139.001203,170.179805
270.000,5,56.074019,254.220778
270.000,6,29.360308,48.350022
270.000,7,130.977999,47.669093
280.000,0,231.937936,252.693631
280.000,1,236.419769,69.400669
280.000,2,255.452546,170.549965
280.000,3,39.879437,142.662316
280.000,4,141.622373,167.720767
280.000,5,60.392592,256.740683
280.000,6,29.570508,43.354442
280.000,7,135.918320,48.439304
290.000,0,230.635332,255.369497
290.000,1,237.540362,70.236411
290.000,2,254.931654,171.335110
290.000,3,36.046565,139.451538
290.000,4,138.200655,167.353606
290.000,5,61.075089,255.914371
290.000,6,30.760650,40.718051
290.000,7,138.022441,48.349243
300.000,0,232.658773,258.510086
300.000,1,237.206200,70.039916
300.000,2,252.050898,173.220448
300.000,3,40.466395,141.789295
300.000,4,143.025316,168.666103
300.000,5,61.487540,257.480278
300.000,6,30.559154,42.665120
300.000,7,137.948341,48.762429
