group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,EFNRL-like,10,8,14,10755.00000000,154245.00000000,0.06972727,0.05790909,0.87236364,0.12763636
fig7,EFNRL-like,10,8,15,10182.00000000,154818.00000000,0.06512121,0.05896970,0.87590909,0.12409091
fig7,EFNRL-like,10,8,16,10665.00000000,154335.00000000,0.06921212,0.05724242,0.87354545,0.12645455
fig7,EFNRL-like,10,8,17,10270.00000000,154730.00000000,0.06609091,0.05775758,0.87615152,0.12384848
fig7,EFNRL-like,10,8,18,11354.00000000,153646.00000000,0.07457576,0.05666667,0.86875758,0.13124242
fig7,EFNRL-like,10,8,19,10980.00000000,154020.00000000,0.07015152,0.06303030,0.86681818,0.13318182
fig7,EFNRL-like,10,8,20,10431.00000000,154569.00000000,0.06751515,0.05693939,0.87554545,0.12445455
fig7,GNN-ActorCritic,10,8,1,11895.00000000,153105.00000000,0.08030303,0.05015152,0.86954545,0.13045455
fig7,GNN-ActorCritic,10,8,2,11076.00000000,153924.00000000,0.07160606,0.06012121,0.86827273,0.13172727
fig7,GNN-ActorCritic,10,8,3,11576.00000000,153424.00000000,0.07557576,0.05939394,0.86503030,0.13496970
fig7,GNN-ActorCritic,10,8,4,11969.00000000,153031.00000000,0.07775758,0.06257576,0.85966667,0.14033333
fig7,GNN-ActorCritic,10,8,5,11874.00000000,153126.00000000,0.07854545,0.05654545,0.86490909,0.13509091
fig7,GNN-ActorCritic,10,8,6,10846.00000000,154154.00000000,0.07045455,0.05775758,0.87178788,0.12821212
fig7,GNN-ActorCritic,10,8,7,10900.00000000,154100.00000000,0.07275758,0.05018182,0.87706061,0.12293939
fig7,GNN-ActorCritic,10,8,8,11684.00000000,153316.00000000,0.07706061,0.05672727,0.86621212,0.13378788
fig7,GNN-ActorCritic,10,8,9,12214.00000000,152786.00000000,0.07866667,0.06636364,0.85496970,0.14503030
fig7,GNN-ActorCritic,10,8,10,11844.00000000,153156.00000000,0.07648485,0.06387879,0.85963636,0.14036364
fig7,GNN-ActorCritic,10,8,11,10824.00000000,154176.00000000,0.07136364,0.05345455,0.87518182,0.12481818
fig7,GNN-ActorCritic,10,8,12,11538.00000000,153462.00000000,0.07521212,0.05969697,0.86509091,0.13490909
fig7,GNN-ActorCritic,10,8,13,11217.00000000,153783.00000000,0.07378788,0.05566667,0.87054545,0.12945455
fig7,GNN-ActorCritic,10,8,14,11505.00000000,153495.00000000,0.07484848,0.06015152,0.86500000,0.13500000
fig7,GNN-ActorCritic,10,8,15,10819.00000000,154181.00000000,0.07118182,0.05403030,0.87478788,0.12521212
fig7,GNN-ActorCritic,10,8,16,11566.00000000,153434.00000000,0.07593939,0.05763636,0.86642424,0.13357576
fig7,GNN-ActorCritic,10,8,17,11754.00000000,153246.00000000,0.07818182,0.05436364,0.86745455,0.13254545
fig7,GNN-ActorCritic,10,8,18,11758.00000000,153242.00000000,0.07800000,0.05521212,0.86678788,0.13321212
fig7,GNN-ActorCritic,10,8,19,11431.00000000,153569.00000000,0.07457576,0.05900000,0.86642424,0.13357576
fig7,GNN-ActorCritic,10,8,20,11326.00000000,153674.00000000,0.07387879,0.05860606,0.86751515,0.13248485
fig7,Random,20,8,1,17968.00000000,147032.00000000,0.12003030,0.07527273,0.80469697,0.19530303
fig7,Random,20,8,2,17223.00000000,147777.00000000,0.11196970,0.08493939,0.80309091,0.19690909
fig7,Random,20,8,3,17677.00000000,147323.00000000,0.11612121,0.08209091,0.80178788,0.19821212
fig7,Random,20,8,4,18366.00000000,146634.00000000,0.12100000,0.08345455,0.79554545,0.20445455
fig7,Random,20,8,5,17824.00000000,147176.00000000,0.11730303,0.08181818,0.80087879,0.19912121
fig7,Random,20,8,6,16917.00000000,148083.00000000,0.10987879,0.08403030,0.80609091,0.19390909
fig7,Random,20,8,7,16864.00000000,148136.00000000,0.11242424,0.07224242,0.81533333,0.18466667
fig7,Random,20,8,8,18116.00000000,146884.00000000,0.12015152,0.07927273,0.80057576,0.19942424
fig7,Random,20,8,9,18204.00000000,146796.00000000,0.11872727,0.08763636,0.79363636,0.20636364
fig7,Random,20,8,10,17994.00000000,147006.00000000,0.11490909,0.09654545,0.78854545,0.21145455
fig7,Random,20,8,11,17419.00000000,147581.00000000,0.11460606,0.08033333,0.80506061,0.19493939
fig7,Random,20,8,12,17401.00000000,147599.00000000,0.11266667,0.08754545,0.79978788,0.20021212
fig7,Random,20,8,13,17573.00000000,147427.00000000,0.11403030,0.08730303,0.79866667,0.20133333
fig7,Random,20,8,14,17822.00000000,147178.00000000,0.11730303,0.08175758,0.80093939,0.19906061
fig7,Random,20,8,15,16808.00000000,148192.00000000,0.10993939,0.08048485,0.80957576,0.19042424
fig7,Random,20,8,16,18760.00000000,146240.00000000,0.12112121,0.09490909,0.78396970,0.21603030
fig7,Random,20,8,17,18390.00000000,146610.00000000,0.12200000,0.08018182,0.79781818,0.20218182
fig7,Random,20,8,18,17990.00000000,147010.00000000,0.12072727,0.07315152,0.80612121,0.19387879
