time_s,sbs_id,x,y
105.000,4,155.989717,200.026335
105.000,5,260.749139,212.687886
105.000,6,198.231690,108.189718
105.000,7,145.615209,227.339781
110.000,0,264.970602,27.571021
110.000,1,288.177512,226.188493
110.000,2,212.092488,130.489464
110.000,3,152.732413,145.553613
110.000,4,152.935455,206.876261
110.000,5,253.291562,211.891302
110.000,6,202.920189,114.043604
110.000,7,153.102744,227.772011
115.000,0,264.442698,35.052419
115.000,1,295.454118,226.782885
115.000,2,215.502523,137.169409
115.000,3,159.310883,149.155520
115.000,4,154.283103,203.861906
115.000,5,258.843686,206.849088
115.000,6,208.139859,116.458180
115.000,7,160.591837,228.176346
120.000,0,267.696521,38.464634
120.000,1,292.667188,219.819910
120.000,2,212.807492,142.057593
120.000,3,165.468571,153.437211
120.000,4,158.644336,197.760295
120.000,5,259.653116,210.391225
120.000,6,212.935319,122.224770
120.000,7,153.101319,228.553366
125.000,0,263.990015,38.701354
125.000,1,290.828704,217.769810
125.000,2,218.803090,137.551730
125.000,3,171.598478,157.758581
125.000,4,154.488114,204.003357
125.000,5,254.810769,216.118500
125.000,6,217.342657,128.293162
125.000,7,160.577183,229.154585
130.000,0,266.846870,45.635932
130.000,1,286.297241,215.428003
130.000,2,219.360483,135.417278
130.000,3,177.659989,162.175377
130.000,4,161.323228,200.932067
130.000,5,255.258424,208.631871
130.000,6,220.621026,135.038701
130.000,7,153.077828,229.056186
135.000,0,264.705994,38.447981
135.000,1,284.252611,222.643922
135.000,2,213.634236,140.260840
135.000,3,173.124932,168.148924
135.000,4,164.809865,207.572351
135.000,5,247.803996,209.457402
135.000,6,219.465201,130.566231
135.000,7,146.104239,231.816450
140.000,0,265.936766,43.115608
140.000,1,284.577819,229.662026
140.000,2,207.596319,135.811846
140.000,3,166.911850,172.349830
140.000,4,165.920735,208.962462
140.000,5,255.303853,209.411005
140.000,6,220.156096,123.098122
140.000,7,145.112816,224.382267
145.000,0,273.325535,44.402502
145.000,1,281.597424,234.255526
145.000,2,212.494049,141.491831
145.000,3,167.432806,179.831715
145.000,4,173.400752,209.509585
145.000,5,261.553128,205.264133
145.000,6,212.664717,123.457618
145.000,7,137.628487,223.897670
150.000,0,265.950596,43.038582
150.000,1,285.176504,231.017353
150.000,2,217.296241,135.730846
150.000,3,159.982633,180.694810
150.000,4,166.039366,208.074313
150.000,5,260.800072,212.726231
150.000,6,217.600677,129.104414
150.000,7,130.469423,226.133246
155.000,0,267.594046,35.720859
155.000,1,281.314625,224.896441
155.000,2,221.456595,141.971155
155.000,3,163.342111,181.843273
155.000,4,159.349950,211.465731
155.000,5,258.340883,212.515533
155.000,6,213.527156,130.690308
155.000,7,135.940974,231.262780
160.000,0,261.836914,40.527670
160.000,1,285.136773,231.349439
160.000,2,226.595390,147.434010
160.000,3,168.360462,187.416974
160.000,4,152.619063,213.294257
160.000,5,257.985893,215.779811
160.000,6,220.974760,129.805327
160.000,7,130.699519,225.898347
165.000,0,259.810363,33.306653
165.000,1,283.574303,233.679174
165.000,2,231.835663,152.799598
165.000,3,166.806737,186.518613
165.000,4,160.118364,213.396666
165.000,5,256.879806,214.926086
165.000,6,215.224350,134.620177
165.000,7,138.185996,225.448167
170.000,0,263.087031,40.053018
170.000,1,285.935537,226.560567
170.000,2,236.162387,158.925727
170.000,3,166.071864,193.982524
170.000,4,153.311526,216.545787
170.000,5,256.343254,207.588263
170.000,6,220.377941,138.255568
170.000,7,140.272018,232.652229
175.000,0,270.027363,37.210168
175.000,1,281.629725,221.280110
175.000,2,241.871332,163.789671
175.000,3,165.030044,190.549949
175.000,4,146.806795,220.279213
175.000,5,259.153166,214.541995
175.000,6,214.766320,133.279654
175.000,7,147.771623,232.729190
180.000,0,269.636296,44.699966
180.000,1,275.542271,225.661082
180.000,2,247.441162,168.812319
180.000,3,172.033968,193.232310
180.000,4,145.644005,212.869900
180.000,5,257.470715,209.759891
180.000,6,216.033373,135.772130
180.000,7,152.129754,226.625364
185.000,0,267.348254,45.566832
185.000,1,282.420395,228.651301
185.000,2,244.315491,161.994682
185.000,3,164.535148,193.099240
185.000,4,153.127611,212.374286
185.000,5,262.515342,204.209960
185.000,6,219.391162,142.478489
185.000,7,144.659500,225.958053
190.000,0,274.389455,42.983910
190.000,1,274.942094,229.021330
190.000,2,248.993955,167.856590
190.000,3,172.016927,193.621719
190.000,4,146.250005,209.382876
190.000,5,256.528335,206.990849
190.000,6,220.884395,135.128642
190.000,7,138.495929,230.231271
195.000,0,279.790530,48.187599
195.000,1,281.506221,232.649309
195.000,2,254.011362,173.431142
195.000,3,175.776806,187.132242
195.000,4,152.150856,206.223227
195.000,5,261.702947,210.718065
195.000,6,213.680261,133.042868
195.000,7,142.578151,223.939573
200.000,0,272.332560,48.980492
200.000,1,274.130858,231.287686
200.000,2,250.018309,167.082478
200.000,3,168.323816,186.293826
200.000,4,159.630627,206.773693
200.000,5,256.000205,207.254530
200.000,6,212.790144,140.489860
200.000,7,143.281756,216.472650
205.000,0,265.563037,45.751938
205.000,1,280.287158,235.571373
205.000,2,242.879586,169.382181
205.000,3,161.141264,184.134906
205.000,4,166.620467,204.054843
205.000,5,263.441397,208.191902
205.000,6,215.802229,133.621284
205.000,7,142.671812,223.635340
210.000,0,269.530272,42.609713
210.000,1,286.392879,239.926849
210.000,2,235.677967,171.476622
210.000,3,168.615779,184.752663
210.000,4,160.248297,200.099410
210.000,5,269.745331,212.255203
210.000,6,222.227243,129.752278
210.000,7,148.677486,219.142915
215.000,0,263.707949,42.551366
215.000,1,292.101759,243.764871
215.000,2,240.170149,177.482478
215.000,3,162.565482,180.320519
215.000,4,167.662904,201.227950
215.000,5,276.460088,208.914239
215.000,6,227.728591,131.893766
215.000,7,147.106333,211.809329
220.000,0,271.194326,42.099519
220.000,1,286.920327,238.342440
220.000,2,243.498863,184.203316
220.000,3,157.425160,185.781937
220.000,4,161.548344,196.884892
