time_s,mean_latency_ms,p95_latency_ms,mean_distance
160.000,5.887994,6.998458,8.691832
161.000,5.935570,7.014894,9.080835
162.000,5.961571,7.124451,9.018311
163.000,5.910953,7.168223,8.910639
164.000,5.862314,7.053269,8.554049
165.000,5.895794,7.469233,7.897995
166.000,5.950236,7.517582,8.131161
167.000,5.997323,7.643320,8.327937
168.000,5.990672,7.592270,8.364186
169.000,6.012541,7.702181,8.309978
170.000,5.793191,7.340043,7.795056
171.000,5.964874,7.821548,8.786671
172.000,5.905085,7.921091,8.342607
173.000,5.936801,7.809742,8.649425
174.000,5.906734,7.524072,8.504117
175.000,5.967399,7.388871,8.212383
176.000,5.982131,7.397609,8.590098
177.000,5.978675,7.495186,8.725379
178.000,5.960166,7.247801,8.678955
179.000,5.947842,7.485183,8.549771
180.000,6.540747,9.185274,11.202673
181.000,6.650204,9.596253,11.735701
182.000,6.548429,9.320272,11.166892
183.000,6.678607,9.600779,11.728169
184.000,6.614009,9.518420,11.456136
185.000,5.987069,7.100958,8.983536
186.000,6.039437,7.283012,9.326806
187.000,5.977733,7.049170,8.987132
188.000,5.982349,6.946838,8.944694
189.000,5.971136,6.969390,8.944474
190.000,6.546725,8.918130,11.317875
191.000,6.730701,9.780388,11.800101
192.000,6.549179,8.940161,11.220233
193.000,6.607947,9.407130,11.402879
194.000,6.560367,8.976874,11.346481
195.000,6.225837,7.490577,10.308051
196.000,6.242373,7.375709,10.626908
197.000,6.344576,7.508488,11.053997
198.000,6.315844,7.476909,10.965636
199.000,6.324341,7.349475,11.069845
200.000,6.753180,9.905395,11.987028
201.000,6.837620,9.984422,12.325368
202.000,6.789271,9.987507,12.137136
203.000,6.924971,10.107388,12.663159
204.000,7.006346,10.953798,12.690121
205.000,6.156385,8.367834,9.610671
206.000,6.275402,8.619720,10.239921
207.000,6.271338,8.591633,10.159524
208.000,6.308923,8.378577,10.490039
209.000,6.229224,8.088188,10.131718
210.000,5.811813,7.520170,6.953850
211.000,5.703602,7.242714,6.715105
212.000,5.718067,7.200704,6.557476
213.000,5.714071,7.178082,6.779350
214.000,5.780852,7.635953,6.787163
215.000,5.845132,7.545848,8.376967
216.000,5.844993,7.551963,8.513924
217.000,5.831016,7.596890,8.327900
218.000,5.852713,7.451153,8.559850
219.000,5.836036,7.714571,8.300358
220.000,5.868500,7.221968,8.169261
221.000,5.931024,7.245120,8.492690
222.000,5.930770,7.307098,8.333200
223.000,5.908385,7.175140,8.358075
224.000,5.895964,7.213282,8.222351
225.000,6.334422,8.510767,10.657895
226.000,6.398300,8.803766,10.802052
227.000,6.307061,8.813524,10.370807
228.000,6.401620,8.660136,10.919848
229.000,6.299517,8.449327,10.484739
230.000,5.966607,7.120883,9.018257
231.000,6.071129,7.618389,9.409790
232.000,6.010543,7.444794,9.316529
233.000,6.086712,7.402101,9.565646
234.000,6.019927,7.260434,9.192184
235.000,5.612610,6.603071,7.139100
236.000,5.667232,6.556649,7.583983
237.000,5.690654,6.678635,7.664205
238.000,5.725647,6.564028,7.792259
239.000,5.684558,6.653461,7.702120
240.000,5.926171,6.938088,8.812907
241.000,5.903946,6.959357,8.534767
242.000,5.899267,6.921062,8.685453
243.000,5.873258,7.087940,8.372657
244.000,5.975251,7.181556,8.904892
245.000,6.159778,7.040398,10.556525
246.000,6.184549,6.983735,10.615458
247.000,6.067588,6.805329,10.109985
248.000,6.156914,6.914990,10.532402
249.000,6.153766,6.952053,10.570164
250.000,5.951093,6.781651,9.476560
251.000,5.948405,6.507913,9.470629
252.000,5.921657,6.642568,9.316786
253.000,5.964124,6.651240,9.496308
254.000,5.959244,6.626473,9.442526
255.000,5.950379,7.185885,8.735354
256.000,6.013292,7.782520,9.131615
257.000,6.019144,7.640449,9.207686
258.000,6.025035,7.792507,9.070882
259.000,6.045406,7.481692,9.260638
260.000,5.839040,6.488360,8.887712
261.000,5.867703,6.651786,9.006615
262.000,5.821459,6.450625,8.703814
263.000,5.851459,6.726565,8.820194
264.000,5.823728,6.500648,8.698325
265.000,5.506557,6.188006,6.108790
266.000,5.519337,6.436918,6.408775
267.000,5.512126,6.391019,6.451398
268.000,5.536723,6.537829,6.530311
269.000,5.535688,6.558366,6.452827
270.000,5.752970,6.943546,7.985645
271.000,5.820013,6.804395,8.441631
272.000,5.827417,7.080940,8.226563
273.000,5.757413,6.967917,7.715024
274.000,5.819684,7.072025,8.164681
275.000,5.646108,6.496832,7.212871
276.000,5.614709,6.646133,7.115335
277.000,5.608150,6.461382,7.067858
278.000,5.647324,6.510829,7.453098
279.000,5.617924,6.412363,7.188637
280.000,6.049985,8.247928,8.663318
281.000,6.065693,8.237830,8.843181
282.000,6.092211,8.551464,8.939344
283.000,6.068933,8.396844,8.779543
284.000,6.107019,8.770405,8.710674
285.000,6.136899,7.905917,9.199788
286.000,6.097477,7.441603,9.238306
287.000,6.095532,7.594005,9.107575
288.000,6.101157,7.472923,9.078188
289.000,6.002127,7.380418,8.706611
290.000,5.907303,6.994083,8.491342
291.000,5.911216,7.304128,8.783057
292.000,6.033593,7.719138,9.331245
293.000,5.946603,7.561053,8.814256
294.000,6.044680,7.813317,9.397730
295.000,6.232123,7.792894,9.888319
296.000,6.124888,7.412111,9.611160
297.000,6.164455,7.708966,9.720038
298.000,6.155087,7.708251,9.720020
299.000,6.105045,7.661796,9.478894
300.000,6.249788,7.878548,10.236535
