time_s,sbs_id,x,y
105.000,4,157.117014,165.830977
105.000,5,60.582869,259.189060
105.000,6,39.690881,51.536130
105.000,7,146.756572,50.143473
110.000,0,219.743652,247.822275
110.000,1,238.812355,59.840949
110.000,2,251.895025,178.801974
110.000,3,58.605470,163.439356
110.000,4,150.047713,163.325983
110.000,5,57.159075,252.516157
110.000,6,39.009585,59.005121
110.000,7,146.670292,51.073999
115.000,0,212.264023,248.374670
115.000,1,234.695282,61.352486
115.000,2,248.614985,172.057248
115.000,3,65.576133,166.207001
115.000,4,143.111917,160.472086
115.000,5,55.630667,246.367212
115.000,6,37.613999,66.374134
115.000,7,139.797779,48.070907
120.000,0,218.081996,243.641681
120.000,1,237.801304,68.179098
120.000,2,241.442469,169.865213
120.000,3,58.197934,167.553176
120.000,4,148.382976,165.807434
120.000,5,57.833091,253.536544
120.000,6,35.851787,59.084099
120.000,7,147.235470,49.035661
125.000,0,210.996619,246.100835
125.000,1,241.125680,67.149786
125.000,2,244.638865,176.649980
125.000,3,57.124153,161.397127
125.000,4,155.693595,164.132666
125.000,5,57.660863,261.034567
125.000,6,34.842221,51.652358
125.000,7,140.883985,53.024224
130.000,0,204.000968,243.396976
130.000,1,245.063029,62.411929
130.000,2,246.551623,183.901970
130.000,3,61.812906,155.543444
130.000,4,148.826230,167.147512
130.000,5,62.770581,266.524629
130.000,6,38.434450,51.801374
130.000,7,145.120829,59.212854
135.000,0,210.619874,239.869926
135.000,1,243.869004,69.816272
135.000,2,239.147730,185.098787
135.000,3,56.435238,150.315569
135.000,4,153.876869,172.691972
135.000,5,69.463826,269.908482
135.000,6,34.344618,49.677639
135.000,7,139.691503,55.756725
140.000,0,216.941877,243.905057
140.000,1,238.157847,64.954926
140.000,2,244.486080,179.830768
140.000,3,51.931388,156.312679
140.000,4,152.504951,170.413225
140.000,5,64.544406,264.247272
140.000,6,34.460311,50.613566
140.000,7,138.648980,55.851918
145.000,0,223.761068,247.027338
145.000,1,236.015426,62.984271
145.000,2,244.537168,172.330942
145.000,3,47.646601,160.800188
145.000,4,148.476268,176.739339
145.000,5,59.894254,263.513487
145.000,6,31.156374,49.545596
145.000,7,134.435457,60.617103
150.000,0,216.559051,249.120413
150.000,1,240.476860,64.151322
150.000,2,249.962468,177.509370
150.000,3,54.814688,158.593714
150.000,4,153.576223,171.240207
150.000,5,59.648741,260.411270
150.000,6,37.194373,53.994480
150.000,7,138.863407,54.563736
155.000,0,223.547076,246.396903
155.000,1,233.397258,61.675594
155.000,2,252.635761,170.501981
155.000,3,52.207081,157.566024
155.000,4,153.144457,163.752645
155.000,5,53.045984,256.854081
155.000,6,44.076925,51.014466
155.000,7,137.644970,61.964101
160.000,0,230.417273,248.015143
160.000,1,235.481861,62.799256
160.000,2,254.365928,165.504804
160.000,3,46.680010,162.635688
160.000,4,149.185212,168.702340
160.000,5,59.315803,260.969828
160.000,6,36.672006,52.204918
160.000,7,132.625494,57.381232
165.000,0,229.866093,250.082894
165.000,1,238.292829,64.306683
165.000,2,253.338542,167.669108
165.000,3,45.151146,166.409517
165.000,4,148.009158,166.869569
165.000,5,65.197936,265.622839
165.000,6,34.730710,54.437566
165.000,7,139.034653,53.513361
170.000,0,235.059689,244.672112
170.000,1,232.295453,59.803186
170.000,2,254.330649,160.235016
170.000,3,52.603662,165.566891
170.000,4,148.330417,159.376452
170.000,5,61.610787,263.580539
170.000,6,41.671038,51.594707
170.000,7,140.575312,60.853413
175.000,0,230.112591,250.309152
175.000,1,239.204840,61.387044
175.000,2,251.557413,167.203457
175.000,3,50.387347,158.857230
175.000,4,147.918138,166.865112
175.000,5,58.927867,260.135220
175.000,6,34.171173,51.639708
175.000,7,135.426676,59.994882
180.000,0,227.277636,250.150111
180.000,1,238.082482,63.956738
180.000,2,254.884124,167.018937
180.000,3,48.506925,159.838875
180.000,4,150.739922,173.814035
180.000,5,60.733821,262.396610
180.000,6,33.968926,49.113253
180.000,7,136.547029,60.265507
185.000,0,219.858027,251.245282
185.000,1,240.675495,70.994229
185.000,2,254.825075,174.518705
185.000,3,44.089733,163.093473
185.000,4,147.010435,167.307045
185.000,5,61.919363,263.248801
185.000,6,37.947732,52.172815
185.000,7,139.986095,53.600462
190.000,0,212.726091,248.924615
190.000,1,241.585095,63.549591
190.000,2,250.183435,168.627595
190.000,3,51.589277,163.176190
190.000,4,153.448395,171.154468
190.000,5,57.880927,260.351125
190.000,6,38.265079,52.896894
190.000,7,141.761748,60.887234
195.000,0,220.014888,250.691939
195.000,1,234.223787,62.113922
195.000,2,252.042762,161.753517
195.000,3,46.184047,168.375564
195.000,4,147.596262,170.333614
195.000,5,61.966960,262.614543
195.000,6,41.921860,46.348768
195.000,7,134.589602,63.080477
200.000,0,227.494424,251.245605
200.000,1,237.284222,61.523603
200.000,2,247.509210,165.398168
200.000,3,39.390241,165.198426
200.000,4,141.530869,165.922152
200.000,5,63.835554,261.744453
200.000,6,39.013466,52.117625
200.000,7,137.995278,56.398309
205.000,0,220.778152,247.907687
205.000,1,238.429718,68.935610
205.000,2,247.130627,157.907729
205.000,3,39.091782,166.776759
205.000,4,135.797241,161.087329
205.000,5,63.109398,264.350059
205.000,6,43.140597,52.766428
205.000,7,145.375708,55.064422
210.000,0,227.257808,244.130909
210.000,1,240.349900,61.685582
210.000,2,240.835015,153.831547
210.000,3,37.928338,162.692424
210.000,4,130.930719,166.794077
210.000,5,61.866110,261.722800
210.000,6,38.134034,50.996342
210.000,7,138.243613,57.384600
215.000,0,221.783104,249.257078
215.000,1,242.452564,64.508798
215.000,2,244.201377,160.533606
215.000,3,43.385433,167.837335
215.000,4,137.577679,163.320185
215.000,5,66.400950,264.342515
215.000,6,40.193186,53.367146
215.000,7,139.214446,51.629707
220.000,0,221.147911,256.730132
220.000,1,239.796829,61.312862
220.000,2,247.961395,167.023003
220.000,3,46.631182,169.528368
220.000,4,145.075139,163.125036
220.000,5,64.250557,263.300385
220.000,6,33.312821,56.352205
220.000,7,132.922859,55.712100
225.000,0,225.610677,250.702386
225.000,1,242.350939,68.364566
225.000,2,240.660342,168.738993
225.000,3,46.057054,162.050375
225.000,4,151.580574,166.857236
225.000,5,69.575337,268.582120
225.000,6,32.976793,52.855928
225.000,7,131.056237,56.453308
230.000,0,232.813094,252.794082
230.000,1,241.163531,60.959158
230.000,2,248.119466,167.957030
230.000,3,45.174954,169.498321
230.000,4,155.092227,169.619114
230.000,5,65.342114,264.120927
230.000,6,35.994384,53.423304
230.000,7,132.000894,59.698149
235.000,0,235.617475,245.838117
235.000,1,244.026619,67.891166
235.000,2,242.046212,163.556396
235.000,3,47.205928,168.239058
235.000,4,159.216251,170.324155
235.000,5,66.253957,264.091315
235.000,6,33.719433,60.569953
235.000,7,133.313578,56.819569
240.000,0,234.422963,253.242382
240.000,1,241.563911,60.807023
240.000,2,248.441833,167.473797
240.000,3,44.605458,165.168036
240.000,4,154.431449,171.427229
240.000,5,65.808084,261.469340
240.000,6,35.925510,53.401744
240.000,7,132.683074,59.189868
245.000,0,228.818159,255.715605
245.000,1,240.850966,59.457510
245.000,2,254.881746,171.317950
245.000,3,51.342032,166.357576
245.000,4,156.709813,164.281667
245.000,5,67.019111,260.476244
245.000,6,36.365014,53.378151
245.000,7,133.558782,56.187056
250.000,0,229.937669,254.962503
250.000,1,246.338578,54.345160
250.000,2,250.781013,167.619749
250.000,3,57.743460,162.449670
250.000,4,149.502692,166.357097
250.000,5,63.678535,253.761294
250.000,6,34.742633,60.700575
250.000,7,128.904735,50.305743
255.000,0,233.417951,248.318887
255.000,1,246.623705,61.839739
255.000,2,243.382667,168.850391
255.000,3,54.255885,155.809880
255.000,4,156.028326,170.053866
255.000,5,66.432229,260.737480
255.000,6,36.324766,53.369350
255.000,7,134.759091,54.993655
260.000,0,237.563943,242.069027
260.000,1,246.833371,69.336807
260.000,2,236.281291,166.437829
260.000,3,50.007603,161.990665
260.000,4,162.317952,174.139280
260.000,5,65.972422,266.003184
260.000,6,35.451821,47.001453
260.000,7,140.040811,49.668860
265.000,0,235.692031,249.331667
265.000,1,241.799406,63.777203
265.000,2,243.353306,168.935149
265.000,3,46.558298,167.304367
265.000,4,154.842898,174.750491
265.000,5,63.095567,265.626318
265.000,6,40.131998,51.435422
265.000,7,137.352905,56.670657
270.000,0,229.987865,254.201215
270.000,1,240.759060,58.813903
270.000,2,250.849948,169.159559
270.000,3,51.250349,168.153626
270.000,4,155.783867,167.309753
270.000,5,62.952778,262.885927
270.000,6,37.071754,53.911305
270.000,7,135.088131,54.595233
275.000,0,223.899797,252.665862
275.000,1,244.892569,52.555781
275.000,2,257.534095,169.771760
275.000,3,58.745381,168.426578
275.000,4,160.625377,161.581772
275.000,5,59.232995,256.373384
275.000,6,35.313760,61.202359
275.000,7,128.170057,51.698640
280.000,0,218.454679,257.823448
280.000,1,241.938125,59.449347
280.000,2,258.246499,177.237849
280.000,3,51.404362,166.890530
280.000,4,153.255851,160.188902
280.000,5,63.779850,262.337955
280.000,6,36.615564,53.816202
280.000,7,135.549905,53.035741
285.000,0,211.420633,255.221103
285.000,1,247.199133,54.104088
285.000,2,252.475142,172.448127
285.000,3,58.787576,165.572143
285.000,4,159.531558,164.295665
285.000,5,59.036475,262.128877
285.000,6,37.572304,53.375676
285.000,7,137.559384,55.647132
290.000,0,218.473375,257.772344
290.000,1,242.921941,60.264902
290.000,2,257.700067,177.828662
290.000,3,51.939705,162.513278
290.000,4,152.061624,163.624776
290.000,5,62.567214,261.684905
290.000,6,39.458944,48.889144
290.000,7,135.733289,52.350005
295.000,0,218.960770,257.977122
295.000,1,241.215985,64.530346
295.000,2,258.227105,178.926841
295.000,3,45.487759,159.997780
295.000,4,149.057685,162.415703
295.000,5,62.980938,261.426531
295.000,6,37.449663,47.997378
295.000,7,133.716083,54.042034
300.000,0,226.388092,256.935537
300.000,1,241.116422,64.815214
300.000,2,254.455110,172.444399
300.000,3,44.953253,159.098481
300.000,4,147.209944,169.684531
300.000,5,63.114833,261.871312
300.000,6,38.703960,49.395293
300.000,7,136.934009,54.874022
