group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,GNN-ActorCritic,30,8,1,2625.60000000,52374.40000000,0.06627273,0.08190909,0.85181818,0.14818182
fig7,GNN-ActorCritic,30,8,2,2520.10000000,52479.90000000,0.06109091,0.09309091,0.84581818,0.15418182
fig7,GNN-ActorCritic,30,8,3,2873.40000000,52126.60000000,0.06927273,0.09245455,0.83827273,0.16172727
fig7,GNN-ActorCritic,30,8,4,2702.50000000,52297.50000000,0.06700000,0.08600000,0.84700000,0.15300000
fig7,GNN-ActorCritic,30,8,5,2551.40000000,52448.60000000,0.06381818,0.08500000,0.85118182,0.14881818
fig8,GNN-ActorCritic,10,8,1,1512.00000000,53488.00000000,0.02836364,0.06036364,0.91127273,0.08872727
fig8,GNN-ActorCritic,10,8,2,1327.00000000,53673.00000000,0.02572727,0.05409091,0.92018182,0.07981818
fig8,GNN-ActorCritic,10,8,3,1307.00000000,53693.00000000,0.02454545,0.05700000,0.91845455,0.08154545
fig8,GNN-ActorCritic,10,8,4,1426.00000000,53574.00000000,0.02763636,0.05545455,0.91690909,0.08309091
fig8,GNN-ActorCritic,10,8,5,1300.00000000,53700.00000000,0.02472727,0.05563636,0.91963636,0.08036364
fig8,GNN-ActorCritic,20,8,1,2131.00000000,52869.00000000,0.04500000,0.08645455,0.86854545,0.13145455
fig8,GNN-ActorCritic,20,8,2,1997.00000000,53003.00000000,0.04381818,0.07900000,0.87718182,0.12281818
fig8,GNN-ActorCritic,20,8,3,1978.00000000,53022.00000000,0.04181818,0.08527273,0.87290909,0.12709091
fig8,GNN-ActorCritic,20,8,4,2166.00000000,52834.00000000,0.04654545,0.08345455,0.87000000,0.13000000
fig8,GNN-ActorCritic,20,8,5,1929.00000000,53071.00000000,0.04209091,0.07972727,0.87818182,0.12181818
