time_s,mean_latency_ms,p95_latency_ms,mean_distance
150.000,23.378126,54.238157,39.212324
151.000,23.426244,52.471089,39.316909
152.000,23.579300,51.941653,39.430610
153.000,23.416977,54.428601,39.247491
154.000,23.439998,54.446700,39.127517
155.000,23.654902,60.410503,39.169421
156.000,23.772154,61.318355,39.321643
157.000,23.771886,57.239291,39.275488
158.000,23.598999,58.008137,39.130723
159.000,23.670809,58.011635,39.258715
160.000,23.777134,53.916263,39.361586
161.000,23.955736,55.688340,39.590750
162.000,24.071261,55.821080,39.829866
163.000,23.835541,54.157510,39.556368
164.000,23.903131,54.448592,39.561717
165.000,24.909370,58.613378,40.389163
166.000,24.913671,58.870116,40.348608
167.000,24.907007,59.960212,40.329866
168.000,24.895384,60.602729,40.266062
169.000,25.111919,59.545397,40.495589
170.000,24.651622,56.821645,40.182908
171.000,24.611874,58.605247,40.114400
172.000,24.596534,58.074772,40.100018
173.000,24.632331,58.529584,40.059973
174.000,24.893436,55.931270,40.404613
175.000,25.231763,55.887282,40.602679
176.000,25.088888,55.159795,40.478349
177.000,25.092912,56.625243,40.534077
178.000,25.243521,60.154229,40.709748
179.000,25.135464,58.081718,40.664570
180.000,24.382282,55.239028,39.958393
181.000,24.546872,56.858626,40.202603
182.000,24.827772,57.020781,40.460401
183.000,24.963163,56.687588,40.712546
184.000,25.018020,56.711354,40.670911
185.000,24.895335,53.309271,40.570777
186.000,24.905857,53.285361,40.624885
187.000,24.791167,54.931598,40.513640
188.000,24.912461,55.392956,40.597831
189.000,24.941723,53.912531,40.626057
190.000,24.425273,53.747087,40.321712
191.000,24.428957,53.208453,40.332153
192.000,24.440541,52.866764,40.402618
193.000,24.656271,54.595039,40.582619
194.000,24.542602,53.139922,40.540008
195.000,25.605903,59.232081,41.318522
196.000,25.815724,56.800554,41.523113
197.000,25.846344,58.698436,41.502029
198.000,25.729288,58.444113,41.507256
199.000,25.695209,56.327016,41.429907
200.000,25.047726,53.977640,40.930608
201.000,25.092954,52.383887,40.975772
202.000,25.320711,54.392144,41.237670
203.000,25.237747,53.051360,41.119691
204.000,25.205103,53.578994,41.118580
205.000,25.421864,55.777117,41.328510
206.000,25.271454,55.410100,41.190734
207.000,25.214072,54.177865,41.096778
208.000,25.216467,55.346161,41.059239
209.000,25.270873,54.876778,41.133634
210.000,25.828541,57.389453,41.583637
211.000,25.665428,58.705960,41.404686
212.000,25.574350,55.271522,41.285067
213.000,25.581008,57.791448,41.327660
214.000,25.734683,58.333121,41.484722
215.000,25.250076,58.659144,40.871963
216.000,25.373849,56.215930,41.089810
217.000,25.320299,54.901300,41.138062
218.000,25.367866,57.732234,41.165843
219.000,25.396726,55.938051,41.166030
220.000,25.542627,58.247212,41.443843
221.000,25.453537,56.244564,41.441103
222.000,25.363812,54.173725,41.382687
223.000,25.352754,56.263547,41.258942
224.000,25.202426,57.166057,41.155942
225.000,24.292805,50.035780,40.455471
226.000,24.240405,49.384062,40.361962
227.000,24.234862,51.900050,40.330508
228.000,24.336600,52.212254,40.414912
229.000,24.190141,52.421294,40.313441
230.000,24.051001,52.090759,40.219541
231.000,24.009759,53.840529,40.161000
232.000,24.001372,52.355851,40.184294
233.000,24.051447,51.708685,40.236702
234.000,23.991685,50.250304,40.260719
235.000,24.952436,57.025101,40.982181
236.000,25.122960,55.530512,41.118909
237.000,24.995852,58.519034,40.956249
238.000,25.015447,55.244574,40.932050
239.000,25.032302,54.634851,40.978826
240.000,25.172005,55.130896,41.080861
241.000,25.336870,57.058687,41.231048
242.000,25.302308,56.508421,41.126348
243.000,25.201911,55.388487,40.982351
244.000,25.235656,54.055803,41.041256
245.000,25.646409,58.422310,41.378043
246.000,25.513799,55.731804,41.238709
247.000,25.911782,57.325758,41.680195
248.000,25.950712,56.596524,41.668587
249.000,26.311865,58.406145,42.048538
250.000,27.074144,66.461239,42.764235
251.000,27.385745,66.964664,43.062341
252.000,27.352684,65.214337,43.009788
253.000,27.229272,65.393221,42.935239
254.000,27.062518,64.153504,42.777656
255.000,25.849048,58.116360,41.658306
256.000,25.941504,58.963214,41.696386
257.000,26.116807,56.750418,41.976917
258.000,26.007468,55.995459,41.759686
259.000,25.910851,56.835298,41.608255
260.000,25.052621,54.112751,40.956230
261.000,25.156340,56.505186,41.106239
262.000,25.251766,55.014260,41.163774
263.000,25.234764,54.475794,41.201901
264.000,25.106009,53.492047,41.092613
265.000,26.014795,56.990911,41.993792
266.000,25.658516,54.050921,41.688568
267.000,25.480598,53.815068,41.550049
268.000,25.465531,53.600771,41.439694
269.000,25.370989,52.228287,41.432190
270.000,26.126154,58.733030,42.005995
271.000,26.189448,57.175868,42.206700
272.000,26.297835,56.929936,42.358588
273.000,26.518925,57.505022,42.530832
274.000,26.474196,56.078221,42.495137
275.000,26.393265,58.456564,42.281173
276.000,26.411965,57.421617,42.272199
277.000,26.631832,57.835144,42.459425
278.000,26.891097,59.894812,42.704759
279.000,27.152076,58.768707,42.974243
280.000,25.863453,53.394534,42.049833
281.000,25.598502,53.712998,41.732441
282.000,25.610959,54.820853,41.692149
283.000,25.474235,54.213036,41.535248
284.000,25.576296,54.731105,41.724466
285.000,24.933034,51.273699,41.233928
286.000,25.029205,54.366512,41.360624
287.000,25.053632,51.762772,41.390173
288.000,25.226921,51.007378,41.578175
289.000,25.407305,51.644682,41.717364
290.000,26.342633,57.702332,42.368011
291.000,26.362962,60.289729,42.435521
292.000,26.401928,60.861950,42.522515
293.000,26.377489,61.161278,42.516539
294.000,26.355529,62.010517,42.456525
295.000,25.794383,58.022454,42.050002
296.000,25.772370,57.269564,42.036616
297.000,25.998767,58.958894,42.213113
298.000,26.067973,61.581373,42.229649
299.000,26.225057,61.086216,42.367732
300.000,26.924636,64.854409,42.786365
