time_s,mean_latency_ms,p95_latency_ms,mean_distance
117.000,6.935992,8.130991,38.619830
118.000,6.940922,8.136854,38.618437
119.000,6.944844,8.150046,38.696877
120.000,6.938924,8.118415,38.678474
121.000,6.941950,8.189272,38.639006
122.000,6.940008,8.123603,38.600163
123.000,6.932226,8.110175,38.544512
124.000,6.925570,8.089361,38.511399
125.000,6.940844,8.204765,38.516877
126.000,6.945227,8.173843,38.504546
127.000,6.934550,8.136789,38.490997
128.000,6.927729,8.119550,38.454587
129.000,6.934345,8.136468,38.486907
130.000,6.940690,8.147086,38.513803
131.000,6.931375,8.128475,38.527494
132.000,6.931673,8.159832,38.533454
133.000,6.935396,8.182938,38.507911
134.000,6.935955,8.146135,38.519107
135.000,6.945145,8.217042,38.502906
136.000,6.936597,8.168880,38.531949
137.000,6.928860,8.128393,38.477194
138.000,6.938941,8.130153,38.478822
139.000,6.922399,8.126219,38.447970
140.000,6.927204,8.144664,38.444075
141.000,6.926957,8.144809,38.439145
142.000,6.932223,8.160865,38.444466
143.000,6.938800,8.160527,38.475996
144.000,6.922090,8.124191,38.441793
145.000,6.933467,8.138169,38.469342
146.000,6.919809,8.109901,38.396188
147.000,6.923055,8.112158,38.361102
148.000,6.924221,8.116710,38.384420
149.000,6.925196,8.119578,38.403910
150.000,6.917997,8.099000,38.359946
151.000,6.928318,8.145222,38.366369
152.000,6.917785,8.080181,38.355697
153.000,6.923749,8.122748,38.374985
154.000,6.919461,8.100536,38.389220
155.000,6.929056,8.154724,38.381114
156.000,6.931361,8.150907,38.427221
157.000,6.920907,8.105081,38.418139
158.000,6.925726,8.107702,38.414518
159.000,6.934440,8.174622,38.388799
160.000,6.923978,8.147295,38.379551
161.000,6.925253,8.161387,38.405058
162.000,6.921023,8.120619,38.420465
163.000,6.923064,8.139716,38.461284
164.000,6.926474,8.121943,38.429485
165.000,6.923563,8.115231,38.471257
166.000,6.924025,8.114364,38.480509
167.000,6.925492,8.113939,38.509831
168.000,6.927869,8.126425,38.457372
169.000,6.924103,8.092665,38.482054
170.000,6.924514,8.089403,38.490272
171.000,6.923897,8.119058,38.477933
172.000,6.931971,8.126243,38.539420
173.000,6.931436,8.132055,38.528721
174.000,6.942078,8.175697,38.541556
175.000,6.928321,8.124215,38.566420
176.000,6.926881,8.100632,38.537612
177.000,6.926377,8.102900,38.527549
178.000,6.927167,8.105400,38.543341
179.000,6.927989,8.104570,38.559779
180.000,6.931992,8.113209,38.539839
181.000,6.926926,8.103684,38.538522
182.000,6.927584,8.094091,38.551682
183.000,6.931475,8.116290,38.529501
184.000,6.926264,8.130876,38.525284
185.000,6.929911,8.152507,38.498216
186.000,6.925444,8.133259,38.508889
187.000,6.929793,8.130730,38.495851
188.000,6.923204,8.139668,38.464072
189.000,6.923544,8.117667,38.470877
190.000,6.925136,8.131475,38.502725
191.000,6.933164,8.130583,38.563281
192.000,6.926655,8.075044,38.533098
193.000,6.925794,8.059814,38.515872
194.000,6.930807,8.049818,38.516140
195.000,6.924924,8.050079,38.498478
196.000,6.930096,8.106881,38.501913
197.000,6.933470,8.123055,38.569394
198.000,6.932715,8.097618,38.554304
199.000,6.949879,8.164126,38.597574
200.000,6.926254,8.096991,38.525086
201.000,6.927607,8.101664,38.552149
202.000,6.927398,8.128102,38.547951
203.000,6.937675,8.157453,38.553500
204.000,6.935364,8.145614,38.607288
205.000,6.935854,8.151718,38.617087
206.000,6.931996,8.114107,38.639921
207.000,6.932932,8.131077,38.658630
208.000,6.945085,8.185547,38.701702
209.000,6.943355,8.162266,38.767105
210.000,6.945520,8.144435,38.710401
211.000,6.935784,8.145920,38.715689
212.000,6.946353,8.219623,38.727062
213.000,6.947644,8.159292,38.752871
214.000,6.960055,8.237681,38.801108
215.000,6.948574,8.128878,38.871479
216.000,6.961492,8.191525,38.829845
217.000,6.948141,8.115572,38.862827
218.000,6.945761,8.123872,38.815222
219.000,6.948850,8.123139,38.876998
220.000,6.955554,8.192592,38.911083
221.000,6.953738,8.137812,38.874756
222.000,6.954015,8.195728,38.880298
223.000,6.973903,8.279807,38.878067
224.000,6.951334,8.197249,38.826675
225.000,6.950752,8.183664,38.815035
226.000,6.945956,8.183401,38.819114
227.000,6.944473,8.136880,38.789454
228.000,6.942322,8.109588,38.746445
229.000,6.942158,8.097492,38.643150
230.000,6.935802,8.097773,38.616042
231.000,6.930124,8.068397,38.602476
232.000,6.932341,8.074605,38.646826
233.000,6.933642,8.088166,38.672843
234.000,6.947495,8.113110,38.649905
235.000,6.942693,8.103614,38.653863
236.000,6.941794,8.070155,38.635873
237.000,6.954814,8.109546,38.696280
238.000,6.938360,8.111212,38.667195
239.000,6.939381,8.074283,38.687619
240.000,6.938175,8.070991,38.763497
241.000,6.946458,8.068259,38.729170
242.000,6.943353,8.084777,38.767062
243.000,6.942781,8.075206,38.755614
244.000,6.938166,8.107882,38.763311
245.000,6.954611,8.123540,38.792215
246.000,6.948185,8.081672,38.763707
247.000,6.940717,8.082349,38.714348
248.000,6.941055,8.091543,38.721106
